track_id,ok,reason,n_nodes,secs
blues__blues.00040,True,,30,131.69
blues__blues.00041,True,,30,1.93
blues__blues.00042,True,,30,1.92
blues__blues.00043,True,,30,1.76
blues__blues.00044,True,,30,1.9
blues__blues.00045,True,,30,1.7
blues__blues.00046,True,,30,2.03
blues__blues.00047,True,,30,2.05
blues__blues.00032,True,,30,131.68
blues__blues.00033,True,,30,1.78
blues__blues.00034,True,,30,1.96
blues__blues.00035,True,,30,1.88
blues__blues.00036,True,,30,1.89
blues__blues.00037,True,,30,1.73
blues__blues.00038,True,,30,1.99
blues__blues.00039,True,,30,2.12
blues__blues.00008,True,,30,131.8
blues__blues.00009,True,,30,1.86
blues__blues.00010,True,,30,1.81
blues__blues.00011,True,,30,1.86
blues__blues.00012,True,,30,1.85
blues__blues.00013,True,,30,1.78
blues__blues.00014,True,,30,1.96
blues__blues.00015,True,,30,2.06
blues__blues.00048,True,,30,131.82
blues__blues.00049,True,,30,1.85
blues__blues.00050,True,,30,2.3
blues__blues.00051,True,,30,1.75
blues__blues.00052,True,,30,1.91
blues__blues.00053,True,,30,1.84
blues__blues.00054,True,,30,2.03
blues__blues.00055,True,,30,2.15
blues__blues.00088,True,,30,132.22
blues__blues.00089,True,,30,1.67
blues__blues.00090,True,,30,1.91
blues__blues.00091,True,,30,1.97
blues__blues.00092,True,,30,2.31
blues__blues.00093,True,,30,1.85
blues__blues.00094,True,,30,1.84
blues__blues.00095,True,,30,2.08
classical__classical.00004,True,,30,131.6
classical__classical.00005,True,,30,1.88
classical__classical.00006,True,,30,1.95
classical__classical.00007,True,,30,1.81
classical__classical.00008,True,,30,2.32
classical__classical.00009,True,,30,2.02
classical__classical.00010,True,,30,1.88
classical__classical.00011,True,,30,2.57
blues__blues.00080,True,,30,131.71
blues__blues.00081,True,,30,2.02
blues__blues.00082,True,,30,1.86
blues__blues.00083,True,,30,1.98
blues__blues.00084,True,,30,2.27
blues__blues.00085,True,,30,2.14
blues__blues.00086,True,,30,1.99
blues__blues.00087,True,,30,2.07
blues__blues.00000,True,,30,132.31
blues__blues.00001,True,,30,1.66
blues__blues.00002,True,,30,1.84
blues__blues.00003,True,,30,2.09
blues__blues.00004,True,,30,1.99
blues__blues.00005,True,,30,2.3
blues__blues.00006,True,,30,1.81
blues__blues.00007,True,,30,2.3
blues__blues.00096,True,,30,132.7
blues__blues.00097,True,,30,1.88
blues__blues.00098,True,,30,1.78
blues__blues.00099,True,,30,1.98
classical__classical.00000,True,,30,1.96
classical__classical.00001,True,,30,1.98
classical__classical.00002,True,,30,1.85
classical__classical.00003,True,,30,2.2
blues__blues.00064,True,,30,131.96
blues__blues.00065,True,,30,1.96
blues__blues.00066,True,,30,2.18
blues__blues.00067,True,,30,1.93
blues__blues.00068,True,,30,2.27
blues__blues.00069,True,,30,2.04
blues__blues.00070,True,,30,1.97
blues__blues.00071,True,,30,2.17
blues__blues.00024,True,,30,132.14
blues__blues.00025,True,,30,2.25
blues__blues.00026,True,,30,1.95
blues__blues.00027,True,,30,1.93
blues__blues.00028,True,,30,1.71
blues__blues.00029,True,,30,2.82
blues__blues.00030,True,,30,2.2
blues__blues.00031,True,,30,2.11
classical__classical.00012,True,,30,132.87
classical__classical.00013,True,,30,2.11
classical__classical.00014,True,,30,2.01
classical__classical.00015,True,,30,2.09
classical__classical.00016,True,,30,1.74
classical__classical.00017,True,,30,2.12
classical__classical.00018,True,,30,2.07
classical__classical.00019,True,,30,2.11
blues__blues.00016,True,,30,132.65
blues__blues.00017,True,,30,2.27
blues__blues.00018,True,,30,2.04
blues__blues.00019,True,,30,1.87
blues__blues.00020,True,,30,2.46
blues__blues.00021,True,,30,1.84
blues__blues.00022,True,,30,2.18
